,0
HW,CSD4
Q1,0.462
Q2,0.5144404332129964
Q3,0.5179372197309418
Q4,[ 0.00809504 -0.0105298   0.0042779 ]
Q5,0.56
Q6,0.694
Q7,0.6915322580645161
Q8,0.6884920634920635
Q9,0.8106995884773662
